
project<,>/ˈprɒdʒekt/<,>/ˈprɑːdʒekt/<,>n.工程/n.课题/n.作业<,>The new highway project will start next month.<,>新的高速公路工程将于下个月开工。<,>Our group is working on a science project.<,>我们小组正在做一个科学课题。<,>She spent all weekend finishing her art project.<,>她花了整个周末完成她的美术作业。<,>pro(向前)+ject(投掷)→向前投→规划的项目<,>reject(v.拒绝)/inject(v.注射)/object(n.物体)

envy<,>/ˈenvi/<,>/ˈɛnvi/<,>n.妒忌/羡慕/妒忌的对象/vt.妒忌/羡慕<,>They looked at her with envy.<,>他们羡慕地看着她。<,>Her success is the envy of her colleagues.<,>她的成功让同事羡慕。<,>I envy your ability to stay calm.<,>我羡慕你能保持冷静。<,>en(使)+vy(看)→使别人看→羡慕<,>envious(adj.嫉妒的)/enviable(adj.令人羡慕的)  

hut<,>/hʌt/<,>/hʌt/<,>n.小屋/棚屋<,>They built a hut in the woods.<,>他们在树林里搭了间小屋。<,>The fisherman's hut stood by the lake.<,>渔夫的小屋矗立在湖边。<,>We took shelter in a mountain hut.<,>我们在山间小屋避雨。<,>hut→发音似"哈特"→小屋<,>hut/hot(adj.热的)/hit(v.打击/n.热门)  

invincible<,>/ɪnˈvɪnsəbl/<,>/ɪnˈvɪnsəbəl/<,>adj.不能征服的/无敌的<,>The team seemed invincible this season.<,>这个赛季这支球队似乎所向无敌。<,>He has an invincible will.<,>他有不可战胜的意志。<,>Their defense was considered invincible.<,>他们的防守被认为坚不可摧。<,>in(不)+vinc(征服)+ible(能)→不能征服的<,>visible(adj.可见的)/invincibility(n.无敌)  

discount<,>/ˈdɪskaʊnt/<,>/ˈdɪskaʊnt/<,>n.折扣/vt.将...打折扣/不信/漠视/低估<,>We offer a 20% discount on all items.<,>所有商品打八折。<,>You shouldn't discount his advice.<,>你不该轻视他的建议。<,>They discounted the rumors.<,>他们不相信那些谣言。<,>dis(不)+count(计算)→不算在内→折扣<,>account(n.账户/v.解释)/recount(v.叙述)  

convert<,>/kənˈvɜːt/<,>/kənˈvɜːrt/<,>v.转变/转化/改变<,>They converted the attic into a bedroom.<,>他们把阁楼改造成了卧室。<,>He converted to Buddhism last year.<,>他去年改信佛教。<,>Solar energy can be converted into electricity.<,>太阳能可以转化为电能。<,>con(共同)+vert(转)→共同转变→转化<,>convert/concert(n.音乐会)/converse(v.交谈)
construct<,>/kənˈstrʌkt/<,>/kənˈstrʌkt/<,>vt.建造/vt.构思/n.建筑物/n.构想/n.观念<,>They plan to construct a new bridge over the river.<,>他们计划在河上建造一座新桥。<,>The novel is skillfully constructed.<,>这部小说构思巧妙。<,>This building is a modern construct.<,>这座建筑是现代建筑物。<,>con(共同)+struct(建造)→共同建造→建造<,>structure(n.结构)/destruct(v.破坏)/instruct(v.指导)  

attempt<,>/əˈtempt/<,>/əˈtɛmpt/<,>vt.尝试/vt.试图/vt.努力<,>He attempted to climb the mountain but failed.<,>他试图攀登那座山，但失败了。<,>This is her first attempt at baking a cake.<,>这是她第一次尝试烤蛋糕。<,>They made no attempt to escape.<,>他们没有试图逃跑。<,>at(加强)+tempt(尝试)→尝试<,>tempt(v.诱惑)/contempt(n.轻视)/exempt(v.免除)  

thick<,>/θɪk/<,>/θɪk/<,>adv.厚厚地/adj.厚的/adj.密的/adj.浓的/adj.不清楚的/adj.口音重的<,>She spread the butter thick on the bread.<,>她在面包上涂了厚厚的黄油。<,>The forest is thick with trees.<,>这片森林树木茂密。<,>His accent is so thick that I can hardly understand him.<,>他的口音太重了，我几乎听不懂。<,>对比thin(adj.薄的)<,>tick(n.滴答声)/trick(n.诡计)/brick(n.砖)  

superficial<,>/ˌsuːpəˈfɪʃl/<,>/ˌsupərˈfɪʃəl/<,>adj.表面的/adj.肤浅的<,>He only has a superficial knowledge of the subject.<,>他对这个学科只有肤浅的了解。<,>The wound is superficial and not serious.<,>这个伤口很浅，不严重。<,>Their friendship was rather superficial.<,>他们的友谊相当肤浅。<,>super(上面)+fic(面)+ial→在表面上的→表面的<,>artificial(adj.人工的)/official(adj.官方的)/beneficial(adj.有益的)  

division<,>/dɪˈvɪʒn/<,>/dɪˈvɪʒən/<,>n.分/n.分配/n.除法/n.分歧/n.分裂<,>The division of the money was fair.<,>这笔钱的分配是公平的。<,>There is a division of opinion among the members.<,>成员之间存在意见分歧。<,>He's learning division in math class.<,>他正在数学课上学习除法。<,>divide(v.分割)+sion→分割→分裂<,>vision(n.视力)/provision(n.供应)/decision(n.决定)  

executive<,>/ɪɡˈzekjətɪv/<,>/ɪɡˈzɛkjətɪv/<,>adj.执行的/n.执行者<,>She has an executive position in the company.<,>她在公司担任高管职位。<,>The executive committee will meet next week.<,>执行委员会将于下周开会。<,>He is the chief executive of the corporation.<,>他是公司的首席执行官。<,>execute(v.执行)+ive→执行的<,>execution(n.执行)/executor(n.执行者)/executrix(n.女执行者)  

navigation<,>/ˌnævɪˈɡeɪʃn/<,>/ˌnævəˈɡeɪʃən/<,>n.航行/n.航海/n.航空/n.导航/n.领航<,>Navigation in this area is difficult due to the reefs.<,>由于暗礁的存在，这个区域的航行很困难。<,>The ship's navigation system is very advanced.<,>这艘船的导航系统非常先进。<,>He is studying air navigation.<,>他正在学习航空导航。<,>nav(船)+ig(驱动)+ation→驾驶船只→航行<,>navy(n.海军)/navigate(v.导航)/navigator(n.领航员)  

melt<,>/melt/<,>/mɛlt/<,>v.融化/v.熔化/v.消散<,>The ice will melt when the sun comes out.<,>太阳出来时冰就会融化。<,>Her anger melted when she saw the gift.<,>看到礼物时她的怒气消散了。<,>The metal melts at a very high temperature.<,>这种金属在高温下熔化。<,>对比freeze(v.冻结)<,>belt(n.皮带)/felt(n.毛毡)/pelt(n.毛皮)  

hook<,>/hʊk/<,>/hʊk/<,>v.钩住/n.钩/n.挂钩<,>He hooked the fish and pulled it out of the water.<,>他钩住鱼并把它拉出水面。<,>Hang your coat on the hook by the door.<,>把你的外套挂在门边的挂钩上。<,>The dress fastens with a hook at the back.<,>这件连衣裙在后面用钩子固定。<,>对比look(v.看)<,>book(n.书)/cook(v.烹饪)/took(v.拿)  

stale<,>/steɪl/<,>/stel/<,>adj.不新鲜的/adj.陈腐的/adj.过时的<,>This bread tastes stale.<,>这面包尝起来不新鲜了。<,>His jokes are stale and boring.<,>他的笑话老套又无聊。<,>The air in the room was stale.<,>房间里的空气不新鲜。<,>对比fresh(adj.新鲜的)<,>scale(n.规模)/stake(n.赌注)/stare(v.凝视)
balance<,>/ˈbæləns/<,>/ˈbæləns/<,>vt.使平衡/vt.称/vt.权衡/vt.比较/n.天平/n.平衡/n.结存/n.结欠<,>She balanced the books carefully on her head.<,>她小心地把书平衡在头上。<,>You need to balance your diet with exercise.<,>你需要通过运动来平衡饮食。<,>The balance in my bank account is running low.<,>我银行账户的余额快用完了。<,>bal(球)+ance(状态)→像球一样稳定→平衡<,>ball(n.球)/bland(adj.平淡的)/blend(v.混合)  

cigar<,>/sɪˈɡɑː(r)/<,>/sɪˈɡɑːr/<,>n.雪茄烟<,>He lit a cigar after dinner.<,>晚餐后他点燃了一支雪茄。<,>The smell of cigar smoke filled the room.<,>雪茄烟的味道充满了房间。<,>She gave him a box of Cuban cigars as a gift.<,>她送给他一盒古巴雪茄作为礼物。<,>cig(烟)+ar(名词后缀)→雪茄烟<,>cigarette(n.香烟)/cigarillo(n.小雪茄)/cigar-shaped(adj.雪茄形的)  

action<,>/ˈækʃn/<,>/ˈækʃən/<,>n.行动/n.已做的事/n.作用/n.功能/n.情节<,>We need to take action immediately.<,>我们需要立即采取行动。<,>The action of the drug lasts for six hours.<,>这种药的作用持续六小时。<,>The movie has a lot of exciting action scenes.<,>这部电影有很多激动人心的动作场面。<,>act(行动)+ion(名词后缀)→行动<,>active(adj.活跃的)/activity(n.活动)/actor(n.演员)  

stadium<,>/ˈsteɪdiəm/<,>/ˈsteɪdiəm/<,>n.运动场/n.体育场<,>The new stadium can hold 50,000 people.<,>新体育场能容纳五万人。<,>They are building a stadium for the Olympics.<,>他们正在为奥运会建造一个体育场。<,>The football match will be held at the national stadium.<,>足球比赛将在国家体育场举行。<,>stad(站立)+ium(场所)→站立观看的场所→体育场<,>studio(n.工作室)/stamen(n.雄蕊)/stadium-seating(n.阶梯式座位)  

whereas<,>/ˌweərˈæz/<,>/ˌwerˈæz/<,>conj.然而/conj.但是/conj.尽管<,>He is tall, whereas his brother is short.<,>他很高，而他弟弟很矮。<,>She loves coffee, whereas I prefer tea.<,>她喜欢咖啡，而我更喜欢茶。<,>Whereas the first plan failed, the second one succeeded.<,>尽管第一个计划失败了，但第二个成功了。<,>where(哪里)+as(如同)→如同在另一处→然而<,>whereby(adv.凭借)/wherein(adv.在其中)/whereupon(conj.于是)  

pitch<,>/pɪtʃ/<,>/pɪtʃ/<,>vi.投/vi.掷/vi.架设/vi.搭/vi.营/vi.颠簸/n.球场/n.程度/n.强度/n.高度/n.音高/n.沥青/vt.投掷/vt.使猛然倒下/vt.表达/vt.把…定于特定程度/vt.定调<,>He pitched the ball with great speed.<,>他以极快的速度投球。<,>The ship pitched violently in the storm.<,>船在暴风雨中剧烈颠簸。<,>They pitched their tent near the lake.<,>他们在湖边搭起了帐篷。<,>pit(坑)+ch→像投球入坑→投掷<,>patch(n.补丁)/pinch(v.捏)/pitch-black(adj.漆黑的)  

kindness<,>/ˈkaɪndnəs/<,>/ˈkaɪndnəs/<,>n.仁慈/n.好意<,>She showed great kindness to the stray dog.<,>她对流浪狗表现出极大的仁慈。<,>His kindness made everyone feel welcome.<,>他的好意让每个人都感到受欢迎。<,>Kindness is a virtue that should be practiced daily.<,>仁慈是一种应该每天实践的美德。<,>kind(仁慈的)+ness(名词后缀)→仁慈<,>kindle(v.点燃)/kindred(n.亲属)/kindly(adv.亲切地)  

adoptive<,>/əˈdɒptɪv/<,>/əˈdɑːptɪv/<,>adj.收养关系的/adj.采用的<,>She is very close to her adoptive parents.<,>她和养父母非常亲近。<,>The company has an adoptive approach to new technologies.<,>公司对新科技采取采用的态度。<,>Adoptive families can be just as loving as biological ones.<,>收养家庭可以和亲生家庭一样充满爱。<,>adopt(收养)+ive(形容词后缀)→收养关系的<,>adaptive(adj.适应的)/adoption(n.收养)/adopted(adj.被收养的)  

chop<,>/tʃɒp/<,>/tʃɑːp/<,>vt.砍/vt.劈/vt.切细/n.排骨<,>He chopped the wood into small pieces.<,>他把木头劈成小块。<,>She chopped the onions finely for the soup.<,>她把洋葱切得很细来做汤。<,>We ordered pork chops for dinner.<,>我们晚餐点了猪排。<,>ch(砍)+op(操作)→砍的操作→砍<,>chip(n.碎片)/chap(n.家伙)/chopsticks(n.筷子)  

electrical<,>/ɪˈlektrɪkl/<,>/ɪˈlektrɪkl/<,>adj.电的/adj.电气科学的<,>He is studying electrical engineering.<,>他正在学习电气工程。<,>The storm caused an electrical failure in the city.<,>暴风雨导致城市电力故障。<,>Be careful with electrical appliances near water.<,>在水附近使用电器要小心。<,>electric(电的)+al(形容词后缀)→电的<,>electronic(adj.电子的)/electricity(n.电)/electrify(v.使通电)
statue<,>/ˈstætʃuː/<,>/ˈstætʃuː/<,>n.塑像/n.雕像/n.铸像<,>The statue of liberty is a famous landmark in New York.<,>自由女神像是纽约的著名地标。<,>They erected a statue in honor of the national hero.<,>他们竖立了一座雕像以纪念这位民族英雄。<,>The bronze statue has stood in the square for over a century.<,>这座铜像已经在广场上矗立了一个多世纪。<,>stat(站立)+ue→站立的东西→雕像<,>status(n.地位/n.状态)/stature(n.身高/n.声望)  

being<,>/ˈbiːɪŋ/<,>/ˈbiːɪŋ/<,>n.存在/n.生物/n.生命<,>Human beings are the dominant species on Earth.<,>人类是地球上占主导地位的物种。<,>The origin of being has puzzled philosophers for centuries.<,>存在的起源困扰了哲学家们几个世纪。<,>She felt a strange presence, as if some supernatural being was nearby.<,>她感觉到一种奇怪的存在，仿佛附近有某种超自然生物。<,>be(存在)+ing→存在/生命<,>begin(v.开始)/belong(v.属于)  

sensitive<,>/ˈsensətɪv/<,>/ˈsensətɪv/<,>adj.敏感的/adj.灵敏的/adj.神经过敏的/adj.容易生气的/adj.易受伤害的<,>She is very sensitive to criticism.<,>她对批评非常敏感。<,>This equipment is sensitive to temperature changes.<,>这台设备对温度变化很灵敏。<,>Avoid using harsh words - he's in a sensitive mood today.<,>避免使用严厉的词语-他今天情绪很敏感。<,>sens(感觉)+itive→容易感觉的→敏感的<,>sensible(adj.明智的)/sensory(adj.感觉的)  

protest<,>/prəˈtest/<,>/ˈproʊtest/<,>v.抗议/v.反对/n.抗议/n.反对<,>Thousands of people protested against the new law.<,>数千人抗议这项新法律。<,>She lodged a formal protest with the management.<,>她向管理层提出了正式抗议。<,>The workers went on strike in protest of poor working conditions.<,>工人们罢工抗议恶劣的工作条件。<,>pro(向前)+test(作证)→站出来作证→抗议<,>protect(v.保护)/contest(n.竞赛)  

classification<,>/ˌklæsɪfɪˈkeɪʃn/<,>/ˌklæsəfəˈkeɪʃən/<,>n.分类/n.分级/n.分类法/n.类别/n.级别<,>The classification of plants and animals is called taxonomy.<,>动植物的分类被称为分类学。<,>This document has a security classification of 'top secret'.<,>这份文件的安全级别是"绝密"。<,>Librarians use the Dewey Decimal System for book classification.<,>图书馆员使用杜威十进制系统进行图书分类。<,>class(类别)+ify(使...化)+cation→分类<,>clarification(n.澄清)/certification(n.认证)  

vacant<,>/ˈveɪkənt/<,>/ˈveɪkənt/<,>adj.空的/adj.未被占用的/adj.空缺的/adj.茫然的/adj.空虚的<,>The apartment has been vacant for months.<,>这套公寓已经空置好几个月了。<,>There's a vacant position in the marketing department.<,>市场部有一个空缺职位。<,>He stared at me with a vacant expression.<,>他用茫然的表情盯着我。<,>vac(空)+ant→空的<,>vacation(n.假期)/vacuum(n.真空)  

physicist<,>/ˈfɪzɪsɪst/<,>/ˈfɪzɪsɪst/<,>n.物理学家<,>Albert Einstein was a famous theoretical physicist.<,>阿尔伯特·爱因斯坦是著名的理论物理学家。<,>The physicist won the Nobel Prize for his discovery.<,>这位物理学家因其发现获得了诺贝尔奖。<,>She aspires to become a quantum physicist.<,>她立志要成为一名量子物理学家。<,>physic(物理)+ist(人)→物理学家<,>physician(n.医生)/physical(adj.身体的)  

afford<,>/əˈfɔːd/<,>/əˈfɔːrd/<,>vt.担负得起/vt.提供<,>I can't afford to buy a new car right now.<,>我现在买不起新车。<,>The tree affords shade in the summer.<,>这棵树在夏天提供阴凉。<,>Education should afford equal opportunities to all children.<,>教育应该为所有孩子提供平等的机会。<,>af(加强)+ford(拿出)→能拿出来→负担得起<,>effort(n.努力)/forward(adv.向前)  

underground<,>/ˌʌndəˈɡraʊnd/<,>/ˈʌndərɡraʊnd/<,>adv.在地下/adv.往地下/adv.秘密地/adj.地下的/adj.秘密的/n.地铁/n.地下组织<,>The miners work underground for long hours.<,>矿工们在地下长时间工作。<,>There's an underground parking garage beneath the building.<,>大楼下面有一个地下停车场。<,>The resistance movement operated underground during the war.<,>抵抗运动在战争期间秘密进行。<,>under(在...下)+ground(地面)→地下<,>underline(v.强调)/underwear(n.内衣)  

curse<,>/kɜːs/<,>/kɜːrs/<,>v.诅咒/v.咒骂/n.天谴/n.祸害/n.祸根<,>He cursed loudly when he dropped the hammer on his foot.<,>当锤子砸到他的脚时，他大声咒骂。<,>The witch put a curse on the village.<,>女巫给村庄下了诅咒。<,>Gambling proved to be the family's curse.<,>赌博被证明是这个家庭的祸根。<,>cur(跑)+se→跑来的灾祸→诅咒<,>course(n.课程)/nurse(n.护士)
impression<,>/ɪmˈpreʃən/<,>/ɪmˈpreʃən/<,>n.印象/n.印记<,>His first impression of the city was overwhelming.<,>他对这座城市的第一印象非常深刻。<,>She left an impression of her hand in the wet clay.<,>她在湿黏土上留下了手印。<,>The speech made a strong impression on the audience.<,>这场演讲给观众留下了深刻的印象。<,>im(进入)+press(压)+ion→压进去→印记<,>expression(n.表达)/depression(n.沮丧/n.萧条)

baseball<,>/ˈbeɪsbɔːl/<,>/ˈbeɪsˌbɔl/<,>n.棒球<,>He plays baseball every weekend.<,>他每个周末都打棒球。<,>The baseball game was postponed due to rain.<,>棒球比赛因雨延期。<,>She collects baseball cards as a hobby.<,>她以收集棒球卡为爱好。<,>base(基础)+ball(球)→棒球<,>basketball(n.篮球)/football(n.足球)

interval<,>/ˈɪntəvəl/<,>/ˈɪntɚvəl/<,>n.间隔/n.间距/n.幕间休息<,>There was a short interval between the two acts.<,>两幕之间有短暂的休息时间。<,>The trees were planted at regular intervals.<,>树木按固定间距种植。<,>He takes medication at six-hour intervals.<,>他每隔六小时服药一次。<,>inter(在...之间)+val→间隔<,>internal(adj.内部的)/external(adj.外部的)

evaluate<,>/ɪˈvæljueɪt/<,>/ɪˈvæljuˌeɪt/<,>vt.评价/vt.估价<,>Teachers evaluate students' performance regularly.<,>老师定期评估学生的表现。<,>We need to evaluate the cost before making a decision.<,>我们需要在决定前评估成本。<,>The app allows users to evaluate products.<,>这个应用允许用户评价产品。<,>e(出)+valu(价值)+ate→评估价值<,>value(n.价值)/valuation(n.估价)

machinery<,>/məˈʃiːnəri/<,>/məˈʃinəri/<,>n.机器/n.机械<,>The factory uses modern machinery for production.<,>这家工厂使用现代化机械进行生产。<,>Farm machinery has greatly improved efficiency.<,>农业机械大大提高了效率。<,>He specializes in repairing industrial machinery.<,>他专门修理工业机械。<,>machine(机器)+ry→机械<,>mechanic(n.技工)/mechanical(adj.机械的)

status<,>/ˈsteɪtəs/<,>/ˈstætəs/<,>n.地位/n.身份/n.状况<,>His social status has improved significantly.<,>他的社会地位显著提高。<,>What's the status of your project?<,>你的项目进展如何？<,>She updated her marital status on the form.<,>她在表格上更新了婚姻状况。<,>stat(站立)+us→站立的位置→地位<,>statue(n.雕像)/statute(n.法令)

shield<,>/ʃiːld/<,>/ʃild/<,>n.防护物/n.护罩/n.盾/vt.保护/vt.防护<,>The knight raised his shield to block the attack.<,>骑士举起盾牌挡住攻击。<,>Wear a face shield for protection.<,>戴上防护面罩以保护自己。<,>Parents try to shield their children from harm.<,>父母尽力保护孩子免受伤害。<,>shield(盾)→保护<,>yield(v.生产/v.屈服)/field(n.田地/n.领域)

upset<,>/ʌpˈset/<,>/ʌpˈsɛt/<,>adj.心烦的/adj.苦恼的/adj.不适的/vt.使心烦意乱/vt.使苦恼/vt.使不适/vt.搅乱/vt.弄翻/n.翻倒/n.搅乱/n.不安/n.不适<,>She was upset by the bad news.<,>她被这个坏消息搞得心烦意乱。<,>Don't upset the delicate balance.<,>不要打破这种微妙的平衡。<,>The boat upset in the storm.<,>小船在暴风雨中翻了。<,>up(上)+set(放置)→放倒→弄翻<,>reset(v.重置)/onset(n.开始)

inference<,>/ˈɪnfərəns/<,>/ˈɪnfɚəns/<,>n.推断结果/n.结论/n.推论/n.推理/n.推断<,>We can draw some inferences from the data.<,>我们可以从数据中得出一些推论。<,>His inference turned out to be correct.<,>他的推断结果证明是正确的。<,>Logical inference is an important skill.<,>逻辑推理是一项重要技能。<,>infer(推断)+ence→推论<,>reference(n.参考)/conference(n.会议)

curve<,>/kɜːv/<,>/kɝv/<,>v.弯曲/n.曲线/n.弯/n.弯曲处<,>The road curves to the left ahead.<,>前方的道路向左弯曲。<,>She drew a smooth curve on the paper.<,>她在纸上画了一条平滑的曲线。<,>The river makes a sharp curve here.<,>河流在这里有一个急转弯。<,>curve(弯曲)→曲线<,>cure(v.治愈)/carve(v.雕刻)
dot<,>/dɒt/<,>/dɑːt/<,>n.点/n.圆点/vt.打点于<,>She wore a dress with white dots.<,>她穿了一件带白点的连衣裙。<,>Dot the i's and cross the t's.<,>给i加点，给t画横线（意指做事要一丝不苟）。<,>The map was dotted with small towns.<,>地图上点缀着许多小镇。<,>do(做)+t(形状像点)→做点→打点<,>dotage(n.老年糊涂)/dote(v.溺爱)  

skim<,>/skɪm/<,>/skɪm/<,>v.撇去/v.掠过/v.擦过/v.浏览/v.略读<,>She skimmed the cream off the milk.<,>她把牛奶上的奶油撇去。<,>The swallows skimmed over the lake.<,>燕子掠过湖面。<,>I just skimmed through the report.<,>我只是略读了这份报告。<,>ski(滑雪)+m(动作轻快)→像滑雪一样轻快掠过<,>slim(adj.苗条的)/scam(n.骗局)  

phenomenon<,>/fəˈnɒmɪnən/<,>/fəˈnɑːmɪnən/<,>n.现象<,>The northern lights are a natural phenomenon.<,>北极光是一种自然现象。<,>This is a common phenomenon in big cities.<,>这是大城市里的常见现象。<,>The phenomenon attracted scientists' attention.<,>这一现象引起了科学家的注意。<,>pheno(显现)+menon(名词后缀)→显现出来的事物→现象<,>phenomena(复数形式)/phenomenal(adj.非凡的)  

notify<,>/ˈnəʊtɪfaɪ/<,>/ˈnoʊtɪfaɪ/<,>vt.通知/vt.告知/vt.报告<,>Please notify me when you arrive.<,>你到达时请通知我。<,>The school notified parents about the event.<,>学校就此事通知了家长。<,>He was notified of the decision.<,>他被告知了这个决定。<,>not(知道)+ify(使)→使知道→通知<,>notice(n.通知)/certify(v.证明)  

mention<,>/ˈmenʃn/<,>/ˈmenʃn/<,>n.提及/n.说起/vt.提及/vt.说起<,>He made no mention of the incident.<,>他没有提及这件事。<,>Did she mention where she was going?<,>她有没有说起要去哪里？<,>The book mentions this theory.<,>这本书提到了这个理论。<,>ment(心智)+ion→说到心里→提及<,>mental(adj.精神的)/comment(n.评论)  

stream<,>/striːm/<,>/striːm/<,>v.流出/v.涌出/n.河/n.溪流/n.一股/n.一串<,>Tears streamed down her face.<,>泪水从她脸上流下。<,>We crossed a small stream.<,>我们穿过了一条小溪。<,>A stream of cars passed by.<,>一串汽车驶过。<,>s(水)+tream(流动)→水流→溪流<,>steam(n.蒸汽)/scream(v.尖叫)  

laundry<,>/ˈlɔːndri/<,>/ˈlɔːndri/<,>n.洗衣房/n.洗衣店/n.待洗的衣服/n.洗好的衣服<,>I need to do the laundry today.<,>我今天要洗衣服。<,>She works at a laundry.<,>她在一家洗衣店工作。<,>The laundry is piling up.<,>待洗的衣服堆起来了。<,>laun(洗)+dry(干)→洗后晾干→洗衣<,>launder(v.洗熨)/laundress(n.洗衣女工)  

accumulate<,>/əˈkjuːmjəleɪt/<,>/əˈkjuːmjəleɪt/<,>v.积累/v.堆积<,>Dust had accumulated on the shelves.<,>架子上积了灰尘。<,>He accumulated a fortune.<,>他积累了一笔财富。<,>Snow accumulated on the ground.<,>雪在地上堆积起来。<,>ac(加强)+cumul(堆积)+ate→不断堆积→积累<,>cumulative(adj.累积的)/conglomerate(v.聚集)  

crime<,>/kraɪm/<,>/kraɪm/<,>n.罪/n.罪行/n.犯罪<,>Stealing is a crime.<,>偷窃是犯罪行为。<,>The crime rate has fallen.<,>犯罪率下降了。<,>He was arrested for committing a crime.<,>他因犯罪被捕。<,>cri(哭)+me(我)→我因犯罪而哭泣→罪行<,>criminal(n.罪犯)/prime(adj.主要的)  

heave<,>/hiːv/<,>/hiːv/<,>vi.起伏/vi.隆起/vi.呕吐/vi.恶心/vt.举起/vt.提起/vt.拉起/vt.拖/vt.扔/vt.发出/n.举起/n.起伏/n.升降<,>His chest heaved with emotion.<,>他的胸膛因激动而起伏。<,>They heaved the box onto the truck.<,>他们把箱子抬上了卡车。<,>The ship heaved in the storm.<,>船在风暴中颠簸。<,>he(他)+ave(声音)→他发出声音→呕吐<,>heaven(n.天堂)/heavy(adj.重的)
leisure<,>/ˈleʒə(r)/<,>/ˈliːʒər/<,>n.空闲时间/n.悠闲<,>He spends his leisure time reading books.<,>他在空闲时间读书。<,>She enjoys the leisure of a quiet afternoon.<,>她喜欢安静下午的悠闲时光。<,>They went for a walk in their leisure hours.<,>他们在闲暇时散步。<,>lei(累)+sure(确定)→累了需要确定休息时间→空闲时间<,>pleasure(n.快乐)/measure(n.措施)/treasure(n.财富)

nourish<,>/ˈnʌrɪʃ/<,>/ˈnɜːrɪʃ/<,>vt.提供养分/vt.养育<,>Milk can nourish a baby.<,>牛奶可以滋养婴儿。<,>She nourishes her plants with fertilizer.<,>她用肥料滋养植物。<,>Good food nourishes the body.<,>好的食物滋养身体。<,>nour(营养)+ish(动词后缀)→提供营养→养育<,>flourish(v.繁荣)/nourishment(n.营养)/nurse(v.护理)

surround<,>/səˈraʊnd/<,>/səˈraʊnd/<,>vt.围/vt.围绕/vt.圈住<,>The garden is surrounded by a fence.<,>花园被篱笆围住。<,>Mountains surround the small village.<,>群山环绕着小村庄。<,>She felt surrounded by love.<,>她感到被爱包围。<,>sur(在...上)+round(圆)→在周围形成一个圆→围绕<,>sound(n.声音)/round(adj.圆的)/bound(v.跳跃)

mat<,>/mæt/<,>/mæt/<,>n.席子/n.垫子<,>He wiped his feet on the doormat.<,>他在门垫上擦了擦脚。<,>The cat is sleeping on the mat.<,>猫在垫子上睡觉。<,>We sat on the mat for the picnic.<,>我们坐在垫子上野餐。<,>ma(妈)+t(躺)→妈妈躺在垫子上→垫子<,>map(n.地图)/mate(n.伙伴)/meat(n.肉)

cigarette<,>/ˌsɪɡəˈret/<,>/ˈsɪɡəret/<,>n.香烟/n.纸烟/n.卷烟<,>He lit a cigarette after dinner.<,>他饭后点了一支烟。<,>Smoking cigarettes is harmful to health.<,>吸烟有害健康。<,>She put out her cigarette in the ashtray.<,>她把烟在烟灰缸里熄灭。<,>cigar(雪茄)+ette(小)→小雪茄→香烟<,>cigar(n.雪茄)/cigarette holder(烟嘴)/cigarette case(烟盒)

torch<,>/tɔːtʃ/<,>/tɔːrtʃ/<,>n.火炬/n.火把/n.手电筒<,>They carried torches in the dark cave.<,>他们在黑暗的洞穴里举着火把。<,>The Olympic torch was passed from runner to runner.<,>奥运火炬在选手间传递。<,>I need a torch to see in the dark.<,>我需要手电筒在黑暗中照明。<,>tor(烤)+ch→用来烤火的工具→火把<,>porch(n.门廊)/touch(v.触摸)/torque(n.扭矩)

positive<,>/ˈpɒzətɪv/<,>/ˈpɑːzətɪv/<,>adj.确实的/adj.明确的/adj.积极的/adj.肯定的<,>She has a positive attitude towards life.<,>她对生活有积极的态度。<,>The test results came back positive.<,>检测结果呈阳性。<,>He gave positive feedback on my work.<,>他对我的工作给予了肯定评价。<,>pos(放)+itive→明确放下的→明确的<,>negative(adj.消极的)/position(n.位置)/possessive(adj.占有的)

favourite<,>/ˈfeɪvərɪt/<,>/ˈfeɪvərɪt/<,>adj.特别受喜爱的/n.特别受喜爱的人<,>Chocolate is my favourite dessert.<,>巧克力是我最喜欢的甜点。<,>She is the teacher's favourite.<,>她是老师最喜欢的学生。<,>What's your favourite color?<,>你最喜欢的颜色是什么？<,>favour(喜爱)+ite(表人)→受喜爱的人<,>flavour(n.味道)/favor(n.喜爱)/favourable(adj.有利的)

menu<,>/ˈmenjuː/<,>/ˈmenjuː/<,>n.菜单<,>Could I see the menu, please?<,>请给我看看菜单。<,>The restaurant changes its menu every season.<,>这家餐厅每季更换菜单。<,>She studied the menu carefully before ordering.<,>她点菜前仔细研究了菜单。<,>men(人)+u(你)→给你看的东西→菜单<,>manual(n.手册)/mental(adj.精神的)/minute(n.分钟)

prospect<,>/ˈprɒspekt/<,>/ˈprɑːspekt/<,>v.勘探/v.勘察/n.前景/n.前途/n.可能性/n.景象/n.景色/n.可能成为主顾的人/n.有希望的候选人<,>The job offers good prospects for promotion.<,>这份工作有很好的晋升前景。<,>They are prospecting for gold in the mountains.<,>他们在山里勘探金矿。<,>The prospect of rain ruined our picnic plans.<,>可能下雨的前景破坏了我们的野餐计划。<,>pro(向前)+spect(看)→向前看→前景<,>perspective(n.观点)/prosper(v.繁荣)/spectacle(n.景象)
